stn_id,stn_name,latitude,longitude,traffic_in,traffic_out
226,사당역,37.476568,126.981649,31139.42857,31221.57143
227,낙성대역,37.4763633,126.965696,25983.28571,25071.57143
228,서울대입구역,37.4812428,126.9516165,43958.57143,42883.57143
229,봉천역,37.4822895,126.9428361,22203,20584.57143
230,신림역,37.4843296,126.9289318,28062.28571,27252.57143
231,신대방역,37.487519,126.913282,13962.85714,13241.14286
232,구로디지털단지역,37.485215,126.901594,52595.57143,52338.85714
432,이수역,37.4853226,126.9820825,14939.85714,14220.85714
434,남태령역,37.4642423,126.989112,1279.428571,1059.857143
738,숭실대입구역,37.495861,126.953991,12497.28571,12568.57143
739,상도역,37.5031531,126.9476687,10781.57143,10387
741,신대방삼거리역,37.4993766,126.9282988,13962.85714,13241.14286
747,남성역,37.484876,126.970673,10444.28571,9696
S406,보라매병원역,37.49297,126.923812,5474.714286,5664.714286
S407,당곡역,37.489862,126.927733,3532.857143,3405.857143
S409,서원역,37.4783067,126.9330369,2749.285714,2380.714286
S410,서울대벤처타운역,37.4722275,126.9341573,6635,6429.857143
S411,관악산역,37.468778,126.9453106,3028,3101.142857
